Loan_ID,Age,Income,Employment_Length,Education_Level,Marital_Status,Loan_Amount,Loan_Term,Interest_Rate,Loan_Purpose,Credit_Score,Debt_to_Income_Ratio,Number_of_Credit_Cards,Current_Total_Debt,Payment_History_Score,Account_Balance,Number_of_Bank_Accounts,Previous_Loans,Default_History,Risk_Level
LN100045,49,118938,20,Master,Single,18565,24,19.86,Education,638,58.19,5,184635,335,29553,8,1,1,High
LN100046,38,138319,11,Bachelor,Single,28027,12,8.49,Business,547,56.81,2,119406,511,8301,9,2,0,Low
LN100047,56,52543,1,Bachelor,Divorced,46500,36,13.98,Home,492,52.4,4,106021,433,18936,9,1,0,Low
LN100048,37,144279,12,High School,Divorced,37095,24,13.09,Home,718,56.02,2,29386,790,14155,8,3,1,Medium
LN100049,25,49362,3,High School,Widowed,10631,48,16.45,Education,624,32.46,7,67652,737,86653,4,2,0,High
LN100050,59,178387,19,Doctorate,Single,29329,60,8.35,Business,605,36.82,4,95835,345,48848,7,1,1,High
LN100051,54,178818,13,Master,Widowed,48020,60,15.97,Medical,503,47.1,9,99123,700,2042,1,1,0,Low
LN100052,26,161129,29,Master,Single,42937,60,9.81,Other,422,44.81,9,18540,787,18565,7,3,0,Medium
LN100053,42,62915,28,Bachelor,Single,11787,24,10.28,Home,746,54.53,5,114483,731,47602,6,2,0,High
LN100054,42,172133,7,Bachelor,Married,43000,60,14.6,Business,790,45.82,1,34756,727,37260,5,4,1,Low
LN100055,50,71370,11,Doctorate,Divorced,31875,36,16.44,Business,732,59.89,7,175498,816,36326,1,3,1,Medium
LN100056,19,185229,37,Master,Single,29514,48,14.5,Education,427,27.43,8,137659,761,42581,8,4,0,Medium
LN100057,36,131375,25,High School,Widowed,27580,60,18.35,Other,847,51.65,2,90792,480,3658,1,2,0,Low
LN100058,63,162394,1,Associate,Divorced,25291,24,8.21,Home,346,44.88,5,50039,444,81855,1,1,1,Medium
LN100059,37,89812,39,Doctorate,Widowed,9288,48,18.36,Medical,804,44.57,5,142341,564,84614,3,3,0,Low
LN100060,59,54017,13,Associate,Divorced,11734,60,5.66,Education,414,26.29,1,7088,705,37548,8,3,0,Low
LN100061,58,76792,5,High School,Divorced,22464,12,14.38,Home,715,49.28,9,101649,783,19668,8,3,0,Low
LN100062,59,178814,39,High School,Single,44008,60,12.54,Home,522,55.02,7,43044,781,40285,7,0,1,Medium
LN100063,46,149198,30,Associate,Married,12814,36,11.66,Business,802,20.93,4,159153,536,22546,5,2,0,Medium
LN100064,23,37629,16,Doctorate,Single,48154,48,8.63,Other,395,41.27,7,193460,824,37874,8,0,0,Medium
LN100065,34,148614,24,Associate,Divorced,12851,36,11.81,Medical,406,29.61,7,142615,638,51318,2,3,1,Medium
LN100066,42,159317,31,Doctorate,Single,6600,12,6.17,Other,331,59.48,2,4005,567,37165,8,3,0,Low
LN100067,55,116950,11,Doctorate,Single,11866,12,9.59,Business,792,33.94,4,38203,565,94434,2,4,0,High
LN100068,21,194942,12,Bachelor,Divorced,8692,36,5.13,Medical,365,21.42,6,17220,827,62970,5,0,0,Medium
LN100069,47,84829,18,Master,Divorced,25373,48,12.94,Medical,478,29.09,4,109991,391,56820,4,1,1,Low
LN100070,37,30588,24,Master,Single,38100,12,5.08,Education,742,42.69,5,33696,547,95443,1,2,0,Low
LN100071,20,151514,30,High School,Single,19847,12,6.15,Medical,848,13.8,1,47381,318,45411,5,1,0,Low
LN100072,40,125280,36,Bachelor,Single,19507,60,4.91,Home,500,40.18,7,180056,689,94908,7,1,0,High
LN100073,68,60721,24,Master,Widowed,14963,24,9.79,Other,348,56.56,4,132148,687,80358,1,2,0,Medium
LN100074,35,188217,15,Doctorate,Single,11106,12,17.39,Other,562,52.52,5,105056,394,85312,2,3,1,Medium
LN100075,43,30599,37,Doctorate,Widowed,12333,48,18.46,Education,432,13.38,0,151018,729,97942,9,4,0,Low
LN100076,53,92594,22,Associate,Married,36913,48,4.69,Medical,643,59.67,9,24471,336,75998,5,3,0,Medium
LN100077,25,154011,13,Associate,Widowed,36283,60,13.97,Business,475,44.94,1,114298,692,36479,7,3,0,High
LN100078,34,42149,5,Doctorate,Single,44423,48,14.79,Home,690,18.11,3,193603,590,99890,2,0,0,Low
LN100079,48,147616,24,Doctorate,Married,43076,60,12.31,Education,310,10.62,8,170810,602,39906,7,1,1,Medium
LN100080,54,161280,22,Associate,Widowed,34815,12,14.51,Medical,500,18.56,5,172792,700,73198,7,1,0,High
LN100081,62,129034,11,Master,Widowed,25584,12,7.36,Business,302,51.91,7,95673,643,72940,7,1,0,Medium
LN100082,50,40951,12,High School,Divorced,30382,12,11.58,Medical,513,11.08,1,25440,817,42605,5,4,0,Low
LN100083,44,199992,35,Associate,Married,6064,12,9.95,Education,606,21.66,9,12862,676,9542,9,4,0,Low
LN100084,62,66766,38,Master,Divorced,46848,24,4.98,Business,843,47.87,4,102415,464,81440,2,4,0,Low
LN100085,21,77014,33,Master,Married,48883,24,13.82,Business,626,39.31,0,69273,312,27774,4,2,1,High
LN100086,39,179423,5,Master,Widowed,11820,12,11.67,Business,498,49.14,3,108848,324,8556,2,4,0,Medium
LN100087,43,107122,37,Bachelor,Divorced,13512,48,8.04,Business,408,47.31,9,22788,422,46123,8,0,0,High
LN100088,49,29308,39,Bachelor,Single,41725,60,11.32,Medical,590,12.53,0,157594,428,78342,1,0,0,Low
LN100089,41,79252,7,Master,Widowed,24615,36,16.29,Business,407,54.63,8,71185,846,42586,9,3,1,Medium
LN100090,63,103211,7,Doctorate,Married,44776,60,16.73,Medical,707,21.35,1,184361,608,14864,5,3,0,Low
LN100091,52,179136,39,Bachelor,Married,22884,36,14.22,Business,351,37.67,6,131683,735,95552,3,3,0,Low
LN100092,54,146534,32,Associate,Divorced,22952,36,11.22,Business,411,42.21,2,139896,481,58989,4,3,0,Low
LN100093,49,28720,33,Bachelor,Divorced,14711,12,13.0,Education,594,18.43,1,121824,342,56093,1,0,0,Low
LN100094,24,146204,14,Doctorate,Married,25473,36,9.85,Medical,488,58.81,3,8799,703,33749,3,3,0,High
LN100095,50,194012,35,High School,Widowed,23249,12,5.59,Medical,364,34.41,6,86406,562,59739,8,0,1,Low
LN100096,48,99993,34,Bachelor,Divorced,14597,24,9.86,Other,764,12.88,6,46147,369,42996,2,4,0,Medium
LN100097,29,67113,21,Master,Single,26984,48,12.25,Education,557,56.86,8,124699,591,17305,2,4,0,High
LN100098,28,68926,22,Master,Married,21388,36,13.38,Medical,630,39.31,2,9614,513,77474,9,2,0,High
LN100099,41,189275,39,Master,Single,45727,48,18.94,Education,800,44.96,6,26147,446,16318,5,3,0,Low
LN100100,25,156464,21,High School,Married,23782,12,16.33,Education,509,36.26,5,77637,324,52810,5,4,0,High
LN100101,49,45905,4,Doctorate,Single,11608,36,6.01,Education,388,51.74,9,107210,622,85915,1,4,0,Low
LN100102,55,70385,30,Associate,Widowed,38115,60,6.37,Home,327,11.66,6,21914,408,37820,6,1,0,Medium
LN100103,39,50653,12,Doctorate,Married,47773,24,5.16,Medical,537,23.42,6,64699,550,61800,8,1,0,High
LN100104,51,111865,27,High School,Widowed,11500,24,15.68,Education,635,33.48,9,10615,781,70942,6,0,0,Medium
LN100105,36,145813,19,Master,Divorced,40342,36,15.15,Home,362,13.83,4,51785,474,20661,7,2,0,High
LN100106,69,165871,32,Doctorate,Married,25209,24,19.77,Home,799,45.3,8,89589,646,83394,4,1,0,High
LN100107,37,35052,15,Associate,Widowed,25977,60,12.11,Business,840,29.68,6,189883,469,30816,2,2,0,Low
LN100108,31,157116,28,Master,Single,43040,48,17.14,Business,768,23.63,6,80017,301,12850,1,4,0,Medium
LN100109,50,170943,22,Associate,Widowed,46462,60,13.01,Medical,350,10.17,2,47898,661,78137,6,0,1,Low
LN100110,27,171306,23,Bachelor,Married,8521,24,17.92,Business,411,45.99,0,128767,595,65057,9,2,0,Medium
LN100111,33,41381,33,Associate,Widowed,6300,48,15.4,Medical,600,51.69,4,110418,501,39866,5,1,0,Low
LN100112,21,168346,6,Master,Single,32075,60,14.11,Home,389,29.75,7,56505,588,26644,2,4,1,Low
LN100113,44,103108,37,Bachelor,Single,28979,12,12.82,Home,528,38.21,4,77031,361,52919,1,3,0,High
LN100114,45,69892,36,Master,Single,35802,12,15.43,Medical,449,21.38,9,92818,801,27428,3,4,0,High
LN100115,60,111501,3,Master,Divorced,17225,48,10.42,Business,437,41.11,2,123952,425,58491,4,1,0,Medium
LN100116,33,103391,33,Bachelor,Married,16481,48,5.09,Business,434,10.61,8,1146,348,33380,7,1,0,Medium
LN100117,69,37920,21,Associate,Single,26217,48,4.16,Medical,756,34.43,1,172347,478,72822,9,3,0,Medium
LN100118,50,36702,4,High School,Divorced,49813,12,11.4,Other,793,42.21,2,148049,792,75604,8,4,0,Medium
LN100119,65,21894,22,High School,Single,42153,60,13.39,Business,826,55.91,3,173637,732,75341,9,2,0,High
LN100120,36,50985,14,High School,Widowed,19755,48,4.8,Education,632,29.07,9,166017,601,3017,7,2,0,Low
LN100121,38,179359,30,High School,Married,29914,12,8.23,Business,661,48.26,0,110822,468,86708,8,4,1,Medium
LN100122,39,145702,8,Doctorate,Widowed,40592,48,8.81,Other,473,39.88,3,3594,568,9926,8,2,0,High
LN100123,26,93527,24,High School,Divorced,31269,48,12.79,Home,512,56.35,3,77610,663,44508,1,4,0,High
LN100124,26,166511,24,Bachelor,Widowed,43732,48,8.09,Home,642,29.92,8,189727,399,23486,9,4,0,Medium
LN100125,26,148676,20,High School,Widowed,29555,12,5.08,Home,360,25.95,7,159503,514,95933,2,1,0,Low
LN100126,44,62235,8,Master,Single,24874,60,6.22,Business,360,54.36,1,123524,396,29511,7,0,0,High
LN100127,34,178731,37,High School,Widowed,41535,12,6.37,Home,823,12.46,6,89197,847,10002,5,1,0,Medium
LN100128,61,44976,21,Associate,Single,12925,12,17.4,Other,515,16.82,5,159643,636,48586,4,2,0,Medium
LN100129,62,102643,22,Bachelor,Single,8107,48,8.19,Other,722,14.12,6,198043,658,68737,1,0,0,Medium
LN100130,25,127631,3,Bachelor,Married,25852,36,15.29,Business,722,52.16,3,62797,589,99056,1,4,0,Low
LN100131,33,76697,28,Doctorate,Divorced,35183,36,12.87,Education,670,10.53,4,44937,695,64668,3,2,0,Low
LN100132,35,90382,14,Master,Divorced,32617,36,19.62,Business,505,53.08,5,118618,659,27048,1,3,0,Medium
LN100133,50,36651,0,Bachelor,Divorced,13722,12,8.0,Home,585,32.56,8,191715,646,95666,8,2,0,Low
LN100134,18,34633,29,Associate,Single,27631,48,6.11,Business,404,10.2,1,61051,423,40324,3,0,0,Low
LN100135,29,99164,28,High School,Divorced,36622,36,4.36,Other,842,30.08,8,199974,837,66877,2,0,0,Medium
LN100136,23,20569,19,Bachelor,Single,12883,24,7.48,Business,541,19.34,9,78903,721,79517,6,4,0,Medium
LN100137,58,87509,32,Associate,Married,24708,24,14.79,Business,790,41.22,0,77990,635,74232,4,3,0,Low
LN100138,22,143425,35,High School,Divorced,22197,24,4.91,Education,797,43.97,3,76204,802,14525,4,4,1,Low
LN100139,33,121126,21,Doctorate,Single,26134,60,7.54,Other,734,34.38,4,69951,356,52634,2,3,0,High
LN100140,35,147522,12,Bachelor,Divorced,45386,48,17.61,Medical,783,12.03,8,98309,375,92081,2,3,0,Low
LN100141,66,53038,6,Bachelor,Divorced,38550,12,13.12,Medical,746,42.81,5,126341,765,94161,6,4,0,Low
LN100142,35,58138,7,Associate,Married,19642,12,4.65,Other,683,52.1,3,127822,584,61491,5,2,0,Low
LN100143,18,179829,27,Master,Widowed,25439,48,4.29,Medical,809,46.02,1,161111,685,5565,9,1,0,High
LN100144,36,130740,8,Doctorate,Divorced,37243,60,4.51,Home,469,51.5,4,116694,558,80483,4,3,0,Medium
LN100145,25,131174,24,Master,Married,45557,48,19.04,Medical,622,20.03,7,157640,776,95613,5,0,0,Low
LN100146,20,69272,15,Bachelor,Divorced,29583,60,17.52,Home,773,54.44,7,38459,310,72053,1,4,0,Low
LN100147,42,157980,9,Master,Divorced,33349,36,17.44,Other,531,26.11,5,139741,559,14287,2,2,1,Medium
LN100148,22,161916,10,High School,Divorced,19002,36,18.75,Medical,658,10.67,0,85985,692,77365,3,3,0,Medium
LN100149,57,71455,30,Doctorate,Divorced,24523,60,11.84,Medical,574,52.17,7,167588,668,2422,5,2,0,Medium
LN100150,36,88447,11,Master,Widowed,49749,48,7.58,Home,331,57.09,3,194556,483,29060,5,4,0,Low
LN100151,35,97108,30,High School,Widowed,10007,36,10.12,Home,476,42.78,1,155405,315,41633,4,0,0,Low
LN100152,67,194138,13,Associate,Divorced,25435,48,15.36,Business,364,21.57,0,89295,805,71521,3,3,0,Medium
LN100153,48,191076,31,Master,Divorced,45343,36,17.95,Education,326,22.59,6,187683,385,13790,9,3,0,Medium
LN100154,50,58333,16,Doctorate,Married,30093,48,10.68,Medical,778,33.33,1,48941,309,25168,1,2,0,Low
LN100155,64,141219,34,High School,Married,16294,48,12.33,Education,567,54.89,3,110903,776,24019,6,4,0,Medium
LN100156,35,103029,0,Master,Single,43405,24,18.87,Education,365,17.48,3,39875,463,43739,7,1,0,Low
LN100157,56,59697,28,Associate,Widowed,15908,60,5.27,Medical,432,51.3,9,129975,323,3668,4,3,0,Medium
LN100158,33,37634,3,Master,Divorced,17699,12,17.73,Home,665,24.57,0,144770,611,76280,3,0,0,Medium
LN100159,33,145520,22,High School,Widowed,39633,60,6.13,Business,381,50.43,1,97500,537,28754,8,3,0,High
LN100160,64,44561,27,Master,Married,6376,48,11.48,Other,627,56.01,0,62826,761,55614,9,3,0,Medium
LN100161,55,169105,15,Doctorate,Widowed,19255,48,7.1,Medical,397,31.37,5,163480,761,85058,1,1,0,Medium
LN100162,58,75063,11,Bachelor,Widowed,18647,60,13.45,Medical,626,28.25,2,125628,537,4509,9,1,0,Low
LN100163,24,45921,20,High School,Divorced,43176,48,12.72,Other,841,50.11,0,79845,321,2500,7,4,0,Low
LN100164,31,39340,16,High School,Divorced,13163,36,9.77,Education,424,36.47,7,101965,479,75440,1,3,0,Low
LN100165,60,82781,39,High School,Married,44051,48,17.74,Business,509,44.22,3,147205,798,26921,7,3,0,Low
LN100166,65,34901,12,High School,Divorced,39744,60,14.39,Education,432,41.14,9,121853,774,54551,5,2,0,Low
LN100167,42,30638,31,Master,Married,11443,60,15.4,Other,802,17.64,6,168198,638,16683,7,2,0,High
LN100168,49,189668,36,Doctorate,Married,18324,60,5.99,Other,456,52.24,9,34043,830,77952,9,0,0,Medium
LN100169,55,64324,14,Associate,Single,26143,24,18.07,Business,681,19.79,1,136150,461,14833,8,0,0,Low
LN100170,39,108356,11,Doctorate,Single,45363,24,6.26,Other,321,56.61,5,54906,360,18290,6,2,0,Low
LN100171,33,52642,14,High School,Single,9920,24,7.18,Other,718,22.53,5,12137,384,14003,2,0,0,Low
LN100172,69,45378,33,Master,Widowed,22375,24,5.61,Business,771,46.69,6,30350,846,71656,8,3,0,Low
LN100173,46,70867,5,Master,Single,42996,24,10.77,Medical,533,24.23,0,5698,789,41253,4,1,0,Low
LN100174,33,93686,16,High School,Divorced,16748,24,18.15,Education,753,25.89,0,131119,304,79787,8,3,0,Medium
LN100175,29,62875,19,Master,Divorced,33535,24,7.67,Medical,461,25.5,1,165204,375,51025,7,2,0,High
LN100176,34,138171,8,High School,Single,20715,60,9.67,Medical,600,47.39,1,11165,552,88022,4,4,1,Medium
LN100177,54,120061,4,Doctorate,Widowed,11450,12,17.46,Education,605,37.84,4,132866,306,93870,8,4,0,Medium
LN100178,44,84377,22,Bachelor,Married,30010,24,13.69,Medical,301,54.15,0,145718,772,71708,2,2,0,High
LN100179,42,74691,32,Master,Widowed,5020,60,15.9,Business,570,25.37,1,137942,437,22706,9,3,0,Low
LN100180,30,69063,37,High School,Widowed,19717,12,7.03,Education,720,44.6,5,99893,657,84008,6,0,0,Low
LN100181,25,111782,13,High School,Married,47885,24,15.32,Home,442,47.65,2,31736,462,87231,7,0,0,Medium
LN100182,22,98343,16,Master,Married,14664,12,7.26,Medical,834,17.57,3,59084,617,42732,1,4,1,Medium
LN100183,29,103071,18,Associate,Married,6099,12,19.79,Other,336,30.03,0,17211,757,76591,3,2,0,Medium
LN100184,58,156564,32,High School,Divorced,28225,36,12.74,Education,406,34.14,4,87665,552,32716,5,2,1,Low
LN100185,20,141399,0,Master,Married,7637,48,14.98,Home,596,27.78,3,191610,500,6880,7,1,0,High
LN100186,52,51357,12,High School,Married,46349,36,5.45,Other,396,26.11,7,139449,831,28949,1,4,1,Low
LN100187,50,52314,26,Associate,Widowed,45512,12,7.64,Home,580,44.32,2,140933,464,85346,9,2,0,Medium
LN100188,39,199769,5,Bachelor,Widowed,24797,60,5.81,Medical,409,20.79,9,149893,531,66064,5,1,0,High
LN100189,67,90283,5,Associate,Single,45225,24,9.94,Other,848,45.47,0,79488,627,43093,3,0,0,Low
LN100190,61,79567,32,Doctorate,Widowed,15807,48,8.19,Medical,487,56.75,9,159025,537,83844,7,4,0,High
LN100191,26,67006,29,Master,Married,22738,24,15.59,Other,787,38.26,4,128870,419,22844,8,4,0,Medium
LN100192,58,161758,34,Associate,Divorced,11402,60,5.29,Education,653,40.57,0,37801,549,22360,3,2,1,High
LN100193,35,188521,22,Bachelor,Widowed,9521,48,15.91,Business,318,13.45,4,19277,635,87941,7,2,0,Low
LN100194,67,81606,9,High School,Widowed,13382,36,4.25,Business,692,53.22,8,84762,583,82782,7,3,0,High
LN100195,46,38891,18,Master,Married,42121,12,6.83,Home,560,24.27,4,154700,497,93328,4,0,1,Low
LN100196,56,121732,27,Associate,Widowed,20065,60,16.57,Other,709,40.75,1,83246,715,43322,9,0,1,Medium
LN100197,44,187795,22,Bachelor,Widowed,24934,12,15.76,Medical,702,58.96,1,130350,694,20704,1,1,0,Medium
LN100198,53,49877,3,Associate,Married,19425,12,11.36,Education,783,39.78,9,28802,450,52646,1,1,0,Low
LN100199,62,34026,19,Doctorate,Widowed,18111,24,4.32,Education,603,46.24,8,195569,564,48181,5,3,1,Low
LN100200,34,40422,18,Master,Divorced,45799,60,13.56,Education,317,32.27,4,123794,519,30589,3,0,0,Low
LN100201,51,160316,26,High School,Single,20510,12,10.21,Business,483,13.02,7,185774,515,87972,9,1,0,Low
LN100202,63,53481,33,Bachelor,Widowed,42851,36,8.72,Medical,704,49.88,9,160749,614,90179,5,0,1,Low
LN100203,20,109180,3,Associate,Divorced,13816,48,14.07,Education,430,11.75,3,139572,515,83562,7,0,0,Low
LN100204,22,129384,37,Master,Widowed,17317,60,10.7,Education,778,45.03,1,5015,634,81229,1,1,0,Low
LN100205,31,78031,6,Associate,Single,7175,24,5.02,Home,307,11.15,3,131305,658,9212,2,2,0,Medium
LN100206,20,159593,6,Master,Married,16341,60,18.61,Other,617,53.12,3,59812,460,13850,4,2,0,Medium
LN100207,40,152818,25,Doctorate,Single,30654,24,16.35,Other,690,17.88,8,8826,810,39767,9,1,0,High
LN100208,56,103127,25,Associate,Widowed,26608,48,4.43,Other,818,35.71,9,10201,456,7322,5,3,0,Medium
LN100209,47,112254,18,Doctorate,Single,22579,36,12.16,Home,435,39.86,5,30048,461,35911,5,4,0,Low
LN100210,67,88232,8,Bachelor,Single,35194,12,4.88,Business,830,32.88,9,122471,341,46580,9,0,0,Medium
LN100211,62,163084,19,Doctorate,Married,39837,60,17.32,Home,666,27.04,5,20941,479,50622,8,4,0,Medium
LN100212,40,100224,15,Master,Widowed,8358,24,13.61,Education,788,33.39,4,81641,602,95923,2,1,0,Low
LN100213,44,174529,16,Bachelor,Single,23822,48,6.35,Medical,310,25.57,5,59418,629,5678,7,0,0,Medium
LN100214,27,49960,21,Associate,Single,46576,12,3.84,Education,745,31.91,0,197761,728,65265,1,4,0,Medium
LN100215,42,107695,12,Associate,Married,42012,48,4.02,Education,413,27.95,4,42541,649,66918,9,2,0,High
LN100216,30,150066,11,Master,Divorced,24727,36,11.87,Medical,495,38.31,5,182011,419,21780,3,3,1,Medium
LN100217,33,158982,9,High School,Widowed,39579,12,15.62,Other,622,21.9,7,71422,374,27506,2,4,0,Medium
LN100218,58,22693,0,High School,Divorced,36018,12,5.49,Home,811,59.43,3,119069,422,42296,4,3,0,Low
LN100219,51,135313,31,Associate,Divorced,21555,12,7.15,Business,464,35.04,4,156022,481,97384,4,2,0,Medium
LN100220,54,166930,29,Master,Married,10906,24,8.9,Education,551,19.71,3,121965,556,39882,3,4,0,Low
LN100221,39,48810,7,High School,Married,45751,12,7.1,Education,343,33.85,6,199875,568,60510,2,1,1,Medium
LN100222,34,40092,20,Doctorate,Widowed,9063,48,9.96,Business,769,53.32,9,152714,792,42202,5,0,0,Medium
LN100223,40,199772,21,Associate,Divorced,48214,24,12.73,Home,788,11.09,5,198578,479,1705,4,2,0,High
LN100224,53,78105,17,Doctorate,Single,13644,12,14.8,Education,480,43.98,3,42607,448,71533,5,3,0,Low
LN100225,66,181577,1,Master,Divorced,47378,48,19.4,Business,376,37.4,5,163360,817,87983,8,3,1,Low
LN100226,26,48555,8,Doctorate,Married,13142,48,18.86,Education,673,18.48,3,113117,447,40730,2,2,0,Medium
LN100227,69,91934,2,High School,Single,36644,60,12.91,Other,366,50.87,7,83865,308,80071,9,1,0,Medium
LN100228,19,92788,25,High School,Single,38521,48,15.61,Other,824,28.44,2,15450,477,90016,1,1,0,Low
LN100229,49,97257,20,Bachelor,Married,16564,36,19.19,Education,391,24.69,7,6618,694,31051,8,3,0,Low
LN100230,67,37939,29,Associate,Single,44619,12,4.88,Education,543,51.41,1,166335,630,77665,5,2,0,Low
LN100231,39,162897,27,Master,Divorced,10104,12,3.59,Other,640,41.93,5,68583,355,50467,2,2,0,Medium
LN100232,60,175223,35,Associate,Married,32299,12,3.99,Education,603,54.91,7,75900,506,30785,8,0,0,High
LN100233,30,148068,25,Doctorate,Widowed,18421,48,12.8,Home,697,41.49,0,29794,404,29402,5,3,0,Low
LN100234,25,20036,33,Master,Married,28211,48,16.09,Home,747,47.04,5,14091,846,2704,3,1,0,High
LN100235,18,113948,7,Master,Widowed,16202,12,9.56,Medical,396,51.82,8,16161,654,27027,7,4,0,Medium
LN100236,34,103707,9,High School,Widowed,48871,24,12.5,Home,630,12.74,9,136230,788,59092,4,1,0,Low
